scenario,run,model,source,success,root_cause_verified,turns_used,diagnosis_duration_s,timestamp,failure_reason
1,"1","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,25,"2026-03-19T08:31:43+01:00","unknown"
1,"2","qwen/qwen3.5-397b-a17b","llm",true,false,1,31,"2026-03-19T08:32:25+01:00","unknown"
1,"3","qwen/qwen3.5-397b-a17b","groundtruth",true,false,2,66,"2026-03-19T08:33:39+01:00","unknown"
1,"4","qwen/qwen3.5-397b-a17b","llm",true,false,1,17,"2026-03-19T08:34:07+01:00","unknown"
1,"5","qwen/qwen3.5-397b-a17b","llm",true,false,1,25,"2026-03-19T08:34:42+01:00","unknown"
1,"6","qwen/qwen3.5-397b-a17b","llm",true,false,1,32,"2026-03-19T08:35:24+01:00","unknown"
1,"7","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,22,"2026-03-19T08:35:53+01:00","unknown"
1,"8","qwen/qwen3.5-397b-a17b","llm",true,false,1,23,"2026-03-19T08:36:26+01:00","unknown"
1,"9","qwen/qwen3.5-397b-a17b","llm",true,false,1,37,"2026-03-19T08:37:13+01:00","unknown"
1,"10","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,15,"2026-03-19T08:37:36+01:00","unknown"
1,"11","qwen/qwen3.5-397b-a17b","llm",true,false,1,29,"2026-03-19T08:38:15+01:00","unknown"
1,"12","qwen/qwen3.5-397b-a17b","llm",true,false,1,61,"2026-03-19T08:39:26+01:00","unknown"
1,"13","qwen/qwen3.5-397b-a17b","llm",true,false,1,31,"2026-03-19T08:40:07+01:00","unknown"
1,"14","qwen/qwen3.5-397b-a17b","llm",true,false,1,25,"2026-03-19T08:40:43+01:00","unknown"
1,"15","qwen/qwen3.5-397b-a17b","llm",true,false,1,39,"2026-03-19T08:41:32+01:00","unknown"
1,"16","qwen/qwen3.5-397b-a17b","llm",true,false,1,39,"2026-03-19T08:42:22+01:00","unknown"
1,"17","qwen/qwen3.5-397b-a17b","llm",true,false,1,19,"2026-03-19T08:42:51+01:00","unknown"
1,"18","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,23,"2026-03-19T08:43:22+01:00","unknown"
1,"19","qwen/qwen3.5-397b-a17b","llm",true,false,1,21,"2026-03-19T08:43:52+01:00","unknown"
1,"20","qwen/qwen3.5-397b-a17b","llm",true,false,1,19,"2026-03-19T08:44:22+01:00","unknown"
1,"21","qwen/qwen3.5-397b-a17b","llm",true,false,1,21,"2026-03-19T08:44:52+01:00","unknown"
1,"22","qwen/qwen3.5-397b-a17b","llm",true,false,1,31,"2026-03-19T08:45:34+01:00","unknown"
1,"23","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,12,"2026-03-19T08:45:53+01:00","unknown"
1,"24","qwen/qwen3.5-397b-a17b","llm",true,false,1,29,"2026-03-19T08:46:32+01:00","unknown"
1,"25","qwen/qwen3.5-397b-a17b","llm",true,false,1,35,"2026-03-19T08:47:18+01:00","unknown"
1,"26","qwen/qwen3.5-397b-a17b","llm",true,false,1,16,"2026-03-19T08:47:44+01:00","unknown"
1,"27","qwen/qwen3.5-397b-a17b","llm",true,false,1,19,"2026-03-19T08:48:13+01:00","unknown"
1,"28","qwen/qwen3.5-397b-a17b","llm",true,false,1,29,"2026-03-19T08:48:52+01:00","unknown"
1,"29","qwen/qwen3.5-397b-a17b","llm",true,false,2,89,"2026-03-19T08:50:32+01:00","unknown"
1,"30","qwen/qwen3.5-397b-a17b","llm",true,false,1,31,"2026-03-19T08:51:12+01:00","unknown"
2,"1","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,24,"2026-03-19T08:54:36+01:00","unknown"
2,"2","qwen/qwen3.5-397b-a17b","groundtruth",true,false,2,85,"2026-03-19T08:59:06+01:00","unknown"
2,"3","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,18,"2026-03-19T09:03:34+01:00","unknown"
